Birth Rate,Business Tax Rate,CO2 Emissions,Country,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
3.0%,79.9%,2655,Tajikistan,80,,2414,"$2,830,236,054",4.8%,$19,224,5.2%,0.0,14.4%,70,63,0.3,1,37.6%,58.7%,3.7%,6954522,26.5%,Asia,"$11,200,000","$6,000,000",12/1/2006
1.2%,37.4%,261211,Thailand,33,,101043,"$207,088,828,467",3.5%,$110,264,1.5%,0.2,7.4%,76,69,0.6,1,21.8%,70.3%,7.9%,65883961,38.8%,Asia,"$16,614,000,000","$6,173,000,000",12/1/2006
3.8%,48.4%,180,Timor-Leste,167,,59,"$462,600,000",10.6%,$46,640,6.2%,0.0,16.5%,65,62,0.0,1,47.8%,49.4%,2.8%,999053,26.9%,Asia,"$20,000,000","$2,000,000",12/1/2006
2.2%,,46256,Turkmenistan,,,19628,"$10,277,598,152",2.2%,$98,,5.7%,0.0,,69,61,0.0,1,31.9%,63.6%,4.5%,4801595,47.3%,Asia,,,12/1/2006
2.1%,112.1%,116530,Uzbekistan,29,,48872,"$17,030,896,203",5.5%,$35,196,4.5%,0.1,,71,64,0.1,1,32.4%,62.9%,4.7%,26488250,36.5%,Asia,"$43,000,000",,12/1/2006
1.7%,39.9%,102456,Vietnam,50,,42475,"$66,371,664,817",6.5%,$46,1050,2.3%,0.2,11.2%,80,70,0.2,1,26.3%,67.2%,6.6%,83313000,27.9%,Asia,"$2,850,000,000","$1,050,000,000",12/1/2006
1.4%,56.5%,3865,Albania,39,,2068,"$9,132,562,332",6.0%,$168,364,1.7%,0.1,12.9%,80,73,0.6,1,25.8%,65.4%,8.9%,2968028,47.8%,Europe,"$1,057,000,000","$989,000,000",12/1/2006
1.1%,,546,Andorra,,,,"$2,823,503,853",6.0%,"$2,631",,0.3%,0.5,,,,0.8,1,,,,81877,89.8%,Europe,,,12/1/2006
0.9%,52.4%,71565,Austria,25,,33799,"$324,954,469,986",10.2%,"$4,016",170,0.4%,0.6,,83,77,1.1,1,15.8%,67.9%,16.4%,8268641,65.8%,Europe,"$18,886,000,000","$11,721,000,000",12/1/2006
1.0%,137.3%,61829,Belarus,69,,28621,"$36,961,918,859",6.3%,$243,987,0.7%,0.2,8.8%,76,64,0.6,1,15.2%,70.2%,14.7%,9604000,72.8%,Europe,"$401,000,000","$675,000,000",12/1/2006
1.2%,59.3%,106834,Belgium,27,,58111,"$399,965,710,785",9.5%,"$3,608",156,0.4%,0.6,7.5%,82,77,0.9,1,17.0%,65.8%,17.2%,10547958,97.4%,Europe,"$11,625,000,000","$17,891,000,000",12/1/2006
0.8%,42.7%,27169,Bosnia and Herzegovina,63,,5301,"$12,400,102,623",8.5%,$275,368,0.7%,0.3,8.0%,78,73,0.5,1,18.6%,67.8%,13.6%,3875157,39.2%,Europe,"$658,000,000","$210,000,000",12/1/2006
1.0%,41.6%,48943,Bulgaria,32,,20459,"$33,209,188,739",6.9%,$297,616,1.3%,0.3,8.9%,76,69,1.1,1,13.5%,69.0%,17.6%,7699020,70.9%,Europe,"$3,317,000,000","$2,099,000,000",12/1/2006
0.9%,21.4%,23175,Croatia,25,,8944,"$49,855,078,905",7.0%,$790,196,0.6%,0.4,9.9%,79,73,1.0,1,15.8%,67.0%,17.2%,4440000,56.6%,Europe,"$8,296,000,000","$770,000,000",12/1/2006
1.2%,,7789,Cyprus,,,2308,"$18,435,765,910",6.3%,"$1,494",,0.4%,0.4,6.7%,81,77,0.8,1,19.5%,69.7%,10.9%,1048314,68.1%,Europe,"$2,691,000,000","$1,031,000,000",12/1/2006
1.0%,48.2%,122764,Czech Republic,24,,45904,"$148,374,084,906",6.7%,$969,930,0.4%,0.5,5.6%,80,74,1.2,1,14.5%,71.2%,14.3%,10238905,73.5%,Europe,"$6,702,000,000","$2,874,000,000",12/1/2006
1.2%,31.5%,55005,Denmark,6,,20252,"$274,376,966,576",9.9%,"$5,017",135,0.4%,0.9,,80,76,1.1,1,18.6%,66.0%,15.4%,5437272,86.1%,Europe,"$5,562,000,000","$7,486,000,000",12/1/2006
1.1%,49.1%,16190,Estonia,35,,5038,"$16,798,498,860",5.0%,$620,81,0.5%,0.6,5.0%,78,67,1.3,1,15.1%,67.9%,17.0%,1346810,68.6%,Europe,"$1,361,000,000","$706,000,000",12/1/2006
,,766,Faeroe Islands,,,,"$1,970,135,199",,,,,0.7,,82,77,1.0,1,,,,49414,40.1%,Europe,,,12/1/2006
1.1%,47.7%,66197,Finland,14,,37334,"$207,949,452,679",8.3%,"$3,302",269,0.3%,0.8,,83,76,1.1,1,17.2%,66.7%,16.1%,5266268,83.0%,Europe,"$3,515,000,000","$4,099,000,000",12/1/2006
1.3%,65.0%,382582,France,7,,266793,"$2,255,706,212,516",11.0%,"$3,907",132,0.4%,0.5,,85,77,0.8,1,18.5%,65.1%,16.5%,63617975,77.4%,Europe,"$54,450,000,000","$39,331,000,000",12/1/2006
0.8%,47.4%,808860,Germany,24,,340492,"$2,902,749,305,068",10.6%,"$3,746",196,0.4%,0.7,,82,76,1.0,1,14.1%,66.5%,19.4%,82376451,73.5%,Europe,"$45,538,000,000","$85,974,000,000",12/1/2006
1.0%,49.5%,97286,Greece,38,,30223,"$261,712,613,837",9.7%,"$2,293",264,0.5%,0.3,,82,77,1.0,1,14.4%,66.9%,18.7%,11127947,74.8%,Europe,"$14,495,000,000","$3,004,000,000",12/1/2006
1.0%,55.7%,57235,Hungary,38,,27330,"$112,533,152,716",8.3%,$922,340,0.7%,0.5,8.1%,77,69,1.0,1,15.3%,68.8%,15.9%,10071370,66.9%,Europe,"$4,998,000,000","$2,319,000,000",12/1/2006
1.5%,26.5%,2277,Iceland,5,,4159,"$16,651,492,784",9.4%,"$5,205",140,0.2%,0.9,17.9%,83,80,1.0,1,21.8%,66.4%,11.8%,303782,93.2%,Europe,"$702,000,000","$1,084,000,000",12/1/2006
1.5%,25.3%,43458,Ireland,13,,14607,"$222,762,958,291",7.5%,"$3,982",76,0.4%,0.5,,82,77,1.1,1,20.6%,68.3%,11.1%,4274137,60.8%,Europe,"$7,664,000,000","$6,978,000,000",12/1/2006
,,,Isle of Man,,,,"$3,437,450,712",,,,,,,,,,1,,,,81068,51.9%,Europe,,,12/1/2006
1.0%,75.4%,469347,Italy,13,,181830,"$1,872,983,094,035",8.8%,"$2,818",340,0.4%,0.4,5.6%,84,79,1.4,1,14.1%,66.1%,19.8%,58143979,67.9%,Europe,"$41,644,000,000","$27,437,000,000",12/1/2006
1.9%,,,Kosovo,,,1966,"$3,918,176,308",,,,,,14.6%,71,67,,1,,,,1719536,,Europe,,,12/1/2006
1.0%,36.4%,7583,Latvia,16,,4688,"$19,935,046,397",6.8%,$590,320,1.0%,0.5,7.3%,77,66,1.0,1,14.4%,68.1%,17.5%,2218357,68.0%,Europe,"$622,000,000","$788,000,000",12/1/2006
1.0%,,,Liechtenstein,,,,"$3,988,775,844",,,,,0.6,,83,79,0.8,1,,,,35028,14.7%,Europe,,,12/1/2006
1.0%,47.6%,14294,Lithuania,26,,8718,"$30,246,361,657",6.2%,$552,166,0.8%,0.4,5.1%,77,65,1.5,1,16.3%,68.5%,15.3%,3269909,66.7%,Europe,"$1,077,000,000","$931,000,000",12/1/2006
1.2%,20.4%,11357,Luxembourg,26,,4329,"$42,544,677,906",7.7%,"$7,029",59,0.3%,0.7,,82,77,1.5,1,18.4%,67.2%,14.4%,472637,87.0%,Europe,"$3,636,000,000","$3,138,000,000",12/1/2006
1.1%,20.3%,10939,"Macedonia, FYR",18,,2924,"$6,560,546,900",7.8%,$246,192,1.2%,0.3,11.3%,77,72,0.6,1,19.2%,69.4%,11.3%,2093801,57.4%,Europe,"$156,000,000","$110,000,000",12/1/2006
0.9%,,2574,Malta,,,834,"$6,390,123,590",9.0%,"$1,445",,0.6%,0.4,5.7%,82,77,0.8,1,16.8%,69.6%,13.6%,405308,93.9%,Europe,"$966,000,000","$362,000,000",12/1/2006
1.2%,45.9%,4994,Moldova,30,,3441,"$3,408,454,198",10.6%,$101,232,1.8%,0.2,18.1%,72,64,0.4,1,18.2%,70.5%,11.3%,3585209,45.2%,Europe,"$150,000,000","$224,000,000",12/1/2006
,,,Monaco,,,,"$4,663,488,363",3.8%,"$5,115",,0.4%,0.6,,,,0.5,1,,,,34369,100.0%,Europe,,,12/1/2006
1.3%,30.4%,2384,Montenegro,24,,1118,"$2,696,020,575",8.2%,$361,372,0.9%,0.3,11.2%,76,71,1.0,1,20.0%,67.1%,12.9%,616854,62.4%,Europe,,,12/1/2006
1.1%,44.6%,167201,Netherlands,8,,76830,"$677,692,043,125",10.7%,"$4,459",250,0.4%,0.8,3.5%,82,78,1.1,1,18.3%,67.5%,14.2%,16346101,83.6%,Europe,"$17,529,000,000","$17,453,000,000",12/1/2006
1.3%,41.1%,44257,Norway,7,,27129,"$340,041,735,967",9.2%,"$6,778",87,0.3%,0.8,4.7%,83,78,1.0,1,19.5%,65.8%,14.7%,4660677,77.9%,Europe,"$4,289,000,000","$11,273,000,000",12/1/2006
1.0%,43.2%,320004,Poland,31,,97241,"$341,669,943,594",6.2%,$554,418,0.6%,0.4,5.5%,80,71,1.0,1,16.0%,70.7%,13.3%,38141267,61.3%,Europe,"$8,122,000,000","$7,654,000,000",12/1/2006
1.0%,43.8%,59108,Portugal,7,,24698,"$201,790,440,627",10.0%,"$1,915",328,0.4%,0.4,,82,75,1.2,1,15.5%,67.2%,17.3%,10522288,58.1%,Europe,"$10,438,000,000","$4,142,000,000",12/1/2006
1.0%,48.2%,102595,Romania,11,,39936,"$122,695,850,812",5.1%,$289,193,1.7%,0.2,14.0%,76,69,0.7,1,15.2%,70.0%,14.9%,21193760,53.3%,Europe,"$1,676,000,000","$1,459,000,000",12/1/2006
1.0%,51.2%,1669618,Russian Federation,29,,670673,"$989,930,542,279",5.3%,$365,448,1.3%,0.2,10.4%,73,60,1.0,1,14.9%,71.3%,13.8%,142487260,73.5%,Europe,"$9,720,000,000","$19,478,000,000",12/1/2006
1.0%,,,San Marino,,,,"$1,469,075,398",5.1%,"$3,444",,0.4%,0.5,6.7%,85,79,0.6,1,,,,30130,94.0%,Europe,,,12/1/2006
1.0%,35.8%,53766,Serbia,23,,17064,"$29,221,081,587",9.4%,$371,279,0.7%,0.3,16.6%,76,71,0.8,1,17.8%,68.2%,14.0%,7411569,54.8%,Europe,"$416,000,000","$322,000,000",12/1/2006
1.0%,47.3%,38929,Slovak Republic,27,,18640,"$69,002,095,095",7.3%,$761,325,0.8%,0.6,7.7%,78,70,0.9,1,16.3%,71.9%,11.8%,5373054,55.4%,Europe,"$1,655,000,000","$1,230,000,000",12/1/2006
0.9%,39.2%,16245,Slovenia,60,,7321,"$38,945,146,500",8.3%,"$1,610",260,0.3%,0.5,7.4%,82,75,0.9,1,14.0%,70.2%,15.8%,2006868,50.4%,Europe,"$2,074,000,000","$1,058,000,000",12/1/2006
1.1%,61.9%,350037,Spain,47,,141748,"$1,236,352,422,042",8.4%,"$2,371",298,0.5%,0.5,,84,78,1.0,1,14.5%,68.7%,16.8%,44397319,77.5%,Europe,"$57,543,000,000","$20,348,000,000",12/1/2006
1.2%,54.1%,49571,Sweden,16,,50207,"$399,075,706,646",8.9%,"$3,947",122,0.3%,0.9,,83,79,1.1,1,17.2%,65.5%,17.4%,9080505,84.4%,Europe,"$10,016,000,000","$11,685,000,000",12/1/2006
1.0%,27.6%,41877,Switzerland,18,,27084,"$405,182,837,674",10.4%,"$5,643",63,0.4%,0.8,3.0%,84,79,1.0,1,16.0%,68.0%,16.0%,7483934,73.5%,Europe,"$12,852,000,000","$11,199,000,000",12/1/2006
1.9%,52.4%,261571,Turkey,6,,93035,"$530,900,094,651",5.8%,$422,254,2.4%,0.2,,76,69,0.8,1,28.1%,65.2%,6.7%,68626337,68.4%,Europe,"$19,137,000,000","$3,517,000,000",12/1/2006
1.0%,57.0%,326480,Ukraine,33,,137333,"$107,753,069,307",6.4%,$147,2085,1.2%,0.0,15.2%,74,62,1.0,1,14.3%,69.7%,16.0%,46787750,68.0%,Europe,"$4,018,000,000","$3,202,000,000",12/1/2006
1.2%,34.6%,542041,United Kingdom,13,,218961,"$2,483,010,316,107",8.4%,"$3,423",105,0.5%,0.7,4.6%,81,77,1.2,1,17.8%,66.2%,16.0%,60846820,80.2%,Europe,"$43,803,000,000","$77,674,000,000",12/1/2006
1.8%,,19497,Bahrain,,,8093,"$18,505,250,857",3.6%,$599,,0.9%,0.3,8.0%,76,75,1.0,1,25.2%,72.7%,2.2%,950951,88.4%,Middle East,"$1,786,000,000","$639,000,000",12/1/2006
1.8%,44.2%,509889,"Iran, Islamic Rep.",28,,180242,"$222,880,533,511",5.1%,$174,344,2.1%,0.1,14.0%,74,70,0.2,1,24.9%,70.1%,5.0%,70976584,68.2%,Middle East,"$1,464,000,000","$5,066,000,000",12/1/2006
3.4%,27.8%,99544,Iraq,32,,21503,"$65,141,035,028",3.0%,$58,312,3.3%,0.0,14.5%,72,66,0.3,1,41.8%,54.7%,3.4%,28064095,68.8%,Middle East,"$170,000,000","$526,000,000",12/1/2006
2.1%,38.2%,65977,Israel,20,,20380,"$150,985,573,253",7.4%,"$1,524",230,0.4%,0.3,8.1%,83,88,1.2,1,27.7%,62.2%,10.1%,7053700,91.6%,Middle East,"$3,802,000,000","$4,085,000,000",12/1/2006
3.0%,31.1%,20733,Jordan,16,,6853,"$15,056,937,190",8.1%,$224,136,2.0%,0.1,8.2%,74,71,0.8,1,37.4%,59.4%,3.2%,5536000,81.4%,Middle East,"$2,426,000,000","$956,000,000",12/1/2006
2.1%,10.7%,73769,Kuwait,35,,25780,"$101,561,153,806",2.2%,$943,98,1.0%,0.3,8.6%,75,73,0.5,1,25.5%,71.5%,3.1%,2417445,98.2%,Middle East,"$508,000,000","$6,074,000,000",12/1/2006
1.4%,35.4%,14499,Lebanon,46,,4774,"$21,796,351,575",8.1%,$443,180,1.1%,0.2,10.3%,80,76,0.3,1,27.4%,65.0%,7.6%,4079823,86.7%,Middle East,"$5,457,000,000","$3,783,000,000",12/1/2006
2.2%,20.3%,39604,Oman,35,,15183,"$36,803,641,389",2.3%,$346,52,1.1%,0.1,7.4%,77,73,0.7,1,34.0%,63.5%,2.5%,2554905,73.0%,Middle East,"$749,000,000","$894,000,000",12/1/2006
1.4%,,56736,Qatar,,,19606,"$60,882,141,103",2.6%,"$1,625",,0.9%,0.3,7.2%,78,77,1.0,1,21.0%,77.8%,1.3%,967602,97.8%,Middle East,"$874,000,000","$3,751,000,000",12/1/2006
2.3%,14.5%,432739,Saudi Arabia,42,,158214,"$376,900,133,511",3.7%,$537,79,1.6%,0.2,,76,72,0.8,1,33.5%,63.4%,3.0%,25371936,81.2%,Middle East,"$4,769,000,000","$12,979,000,000",12/1/2006
2.7%,43.3%,53590,Syrian Arab Republic,43,,21630,"$33,332,844,575",3.8%,$66,336,1.5%,0.1,8.0%,77,73,0.2,1,38.0%,58.5%,3.4%,18804914,54.2%,Middle East,"$2,113,000,000","$585,000,000",12/1/2006
1.6%,14.4%,123875,United Arab Emirates,19,,45911,"$222,105,928,741",2.3%,"$1,109",12,0.8%,0.5,,77,75,1.1,1,18.0%,81.3%,0.7%,4875639,82.6%,Middle East,"$4,972,000,000","$8,827,000,000",12/1/2006
3.5%,47.9%,20796,"Yemen, Rep.",63,,7054,"$19,081,726,103",4.8%,$52,248,5.4%,0.0,18.0%,63,60,0.1,1,44.9%,52.4%,2.6%,20661714,29.5%,Middle East,"$181,000,000","$225,000,000",12/1/2006
2.2%,,,American Samoa,,,,,,,,,,,,,,1,,,,58652,88.0%,Oceania,,,12/1/2006
1.3%,51.1%,371214,Australia,3,,115020,"$747,463,312,369",8.5%,"$3,330",107,0.5%,0.7,9.4%,84,79,0.9,1,19.5%,67.4%,13.0%,20697900,88.2%,Oceania,"$20,726,000,000","$16,446,000,000",12/1/2006
2.3%,41.5%,1360,Fiji,46,,559,"$3,103,099,942",3.8%,$144,140,2.0%,0.1,7.3%,72,66,0.3,1,30.0%,65.7%,4.2%,828060,50.3%,Oceania,"$684,000,000","$123,000,000",12/1/2006
1.8%,,851,French Polynesia,,,,,,,,,0.3,,77,72,0.6,1,26.9%,67.8%,5.3%,257731,56.6%,Oceania,"$463,000,000","$122,000,000",12/1/2006
1.9%,,,Guam,,,,,,,,,0.4,,80,74,,1,29.2%,64.2%,6.6%,158429,93.7%,Oceania,,,12/1/2006
2.4%,31.8%,70,Kiribati,31,,10,"$104,668,675",11.0%,$124,120,5.0%,0.0,,69,64,0.0,1,36.4%,60.0%,3.7%,91953,43.6%,Oceania,"$2,300,000","$5,600,000",12/1/2006
3.5%,64.8%,92,Marshall Islands,17,,30,"$143,352,031",19.6%,$547,128,3.3%,0.0,,,,,1,,,,52084,70.2%,Oceania,"$6,600,000","$400,000",12/1/2006
2.5%,59.6%,103,"Micronesia, Fed. Sts.",16,,,"$252,991,205",11.9%,$285,128,3.6%,0.1,15.6%,69,67,0.2,1,38.5%,57.5%,4.0%,105686,22.3%,Oceania,"$23,000,000","$7,000,000",12/1/2006
1.8%,,2780,New Caledonia,,,,,,,,,0.3,,80,73,0.7,1,26.2%,66.4%,7.4%,238459,64.6%,Oceania,"$122,000,000","$129,000,000",12/1/2006
1.4%,35.4%,33553,New Zealand,12,,16965,"$110,205,467,385",8.8%,"$2,295",172,0.5%,0.7,8.2%,82,78,0.9,1,21.3%,66.6%,12.1%,4184600,86.1%,Oceania,"$4,792,000,000","$2,534,000,000",12/1/2006
3.2%,41.5%,4595,Papua New Guinea,51,,,"$5,598,700,444",3.5%,$31,207,5.5%,0.0,10.6%,63,59,0.0,1,39.9%,57.5%,2.6%,6245797,13.1%,Oceania,"$3,900,000","$43,000,000",12/1/2006
2.9%,20.2%,158,Samoa,35,,57,"$453,082,900",5.2%,$129,224,1.6%,0.0,11.7%,75,68,0.3,1,39.3%,55.8%,4.9%,181073,21.0%,Oceania,"$87,000,000","$21,200,000",12/1/2006
3.4%,26.1%,180,Solomon Islands,56,,59,"$456,735,445",6.7%,$63,80,2.9%,0.0,13.9%,67,65,0.0,1,41.2%,55.7%,3.0%,480745,18.3%,Oceania,"$35,300,000","$26,500,000",12/1/2006
2.9%,27.5%,176,Tonga,32,,57,"$295,998,379",5.5%,$159,164,1.3%,0.1,12.0%,74,69,0.3,1,38.0%,56.0%,6.0%,101617,23.2%,Oceania,"$15,700,000","$16,400,000",12/1/2006
2.9%,8.4%,48,Vanuatu,47,,31,"$437,072,934",3.1%,$64,120,1.7%,0.1,8.3%,72,68,0.1,1,39.4%,57.2%,3.4%,214654,23.4%,Oceania,"$109,000,000","$11,000,000",12/1/2006
1.8%,47.6%,425,Antigua and Barbuda,21,,143,"$1,141,418,340",4.5%,$607,184,1.0%,0.3,10.9%,77,72,1.3,1,28.0%,64.7%,7.3%,83467,28.6%,The Americas,"$327,000,000","$45,000,000",12/1/2006
1.8%,107.6%,174238,Argentina,30,,73128,"$264,489,701,813",8.3%,$454,453,1.5%,0.2,8.6%,79,71,0.8,1,26.0%,63.7%,10.3%,38988923,90.3%,The Americas,"$3,899,000,000","$4,038,000,000",12/1/2006
1.2%,,2274,Aruba,,,,"$2,421,474,860",,,,,0.3,11.3%,77,72,1.1,1,21.3%,69.8%,8.9%,100830,44.5%,The Americas,"$1,064,000,000","$241,000,000",12/1/2006
1.5%,,1522,"Bahamas, The",,,706,"$7,965,588,000",6.9%,"$1,645",,1.2%,0.3,5.5%,77,71,0.8,1,24.9%,68.8%,6.4%,335622,82.3%,The Americas,"$2,066,000,000","$541,000,000",12/1/2006
1.3%,,1371,Barbados,,,398,"$4,314,050,000",7.1%,$826,,1.4%,0.6,10.3%,77,72,0.9,1,20.3%,69.0%,10.7%,274923,32.8%,The Americas,"$1,235,000,000","$284,000,000",12/1/2006
2.6%,34.8%,407,Belize,45,,172,"$1,217,450,000",4.4%,$192,147,1.8%,0.1,14.2%,75,69,0.4,1,37.4%,58.5%,4.0%,278985,46.0%,The Americas,"$260,000,000","$43,000,000",12/1/2006
1.3%,,521,Bermuda,,,,"$5,414,299,000",,,,,0.7,,82,76,0.9,1,,,,64523,100.0%,The Americas,"$495,000,000","$394,000,000",12/1/2006
2.8%,80.0%,14910,Bolivia,50,,6439,"$11,451,845,341",4.8%,$58,1080,4.2%,0.1,11.9%,67,63,0.3,1,37.9%,57.6%,4.5%,9517395,64.7%,The Americas,"$330,000,000","$360,000,000",12/1/2006
1.7%,69.0%,347668,Brazil,149,,222818,"$1,088,916,819,853",8.5%,$491,2600,1.9%,0.3,50.8%,76,68,0.5,1,27.2%,66.5%,6.3%,188134315,83.1%,The Americas,"$4,577,000,000","$7,501,000,000",12/1/2006
1.1%,45.0%,550233,Canada,3,,268302,"$1,310,795,189,078",10.0%,"$3,904",119,0.5%,0.7,5.8%,83,78,0.6,1,17.4%,69.4%,13.3%,32570505,80.2%,The Americas,"$16,837,000,000","$26,067,000,000",12/1/2006
,,517,Cayman Islands,,,,,,,,,0.4,,,,1.9,1,,,,50026,100.0%,The Americas,"$509,000,000","$164,000,000",12/1/2006
1.5%,25.1%,64393,Chile,27,,29507,"$154,671,012,211",6.2%,$587,316,0.8%,0.3,8.0%,81,75,0.8,1,24.3%,67.5%,8.2%,16504530,87.7%,The Americas,"$1,891,000,000","$1,573,000,000",12/1/2006
2.1%,84.0%,62940,Colombia,43,,28568,"$162,773,603,930",6.1%,$227,456,1.8%,0.2,12.9%,76,69,0.7,1,30.4%,64.5%,5.2%,43841370,73.9%,The Americas,"$2,009,000,000","$1,799,000,000",12/1/2006
1.7%,55.2%,7437,Costa Rica,77,,4182,"$22,526,464,409",7.8%,$410,402,0.9%,0.3,22.2%,81,76,0.3,1,27.2%,66.8%,6.0%,4392493,66.9%,The Americas,"$1,865,000,000","$577,000,000",12/1/2006
1.1%,,27407,Cuba,,,10847,"$52,742,100,000",7.7%,$360,,0.5%,0.1,,80,76,0.0,1,19.0%,69.8%,11.2%,11301100,76.2%,The Americas,"$2,414,000,000",,12/1/2006
1.4%,,,Curacao,,,,,,,,,,,79,71,,1,20.6%,67.0%,12.4%,140217,90.4%,The Americas,"$277,000,000","$191,000,000",12/1/2006
1.5%,37.0%,110,Dominica,14,,42,"$382,299,140",5.0%,$271,147,1.2%,0.4,9.5%,,,1.0,1,,,,70690,66.9%,The Americas,"$72,000,000","$10,000,000",12/1/2006
2.3%,35.8%,20693,Dominican Republic,72,,7068,"$35,965,041,793",5.2%,$197,286,2.8%,0.1,19.5%,75,69,0.5,1,32.7%,61.6%,5.7%,9479269,68.7%,The Americas,"$3,917,000,000","$495,000,000",12/1/2006
2.3%,35.3%,29688,Ecuador,65,,10255,"$46,802,044,000",6.5%,$216,600,2.3%,0.1,9.8%,78,72,0.6,1,32.3%,62.0%,5.7%,14023503,61.9%,The Americas,"$492,000,000","$706,000,000",12/1/2006
2.1%,34.7%,6846,El Salvador,26,,4735,"$18,550,700,000",6.7%,$203,320,1.9%,0.1,,76,66,0.6,1,35.0%,58.6%,6.4%,6096692,62.2%,The Americas,"$686,000,000","$307,000,000",12/1/2006
1.5%,,627,Greenland,,,,"$1,738,432,116",,,,,0.6,,72,67,0.9,1,,,,56774,83.2%,The Americas,,,12/1/2006
1.9%,45.3%,231,Grenada,20,,81,"$704,762,536",6.4%,$435,140,1.3%,0.2,9.9%,74,69,0.4,1,29.3%,63.1%,7.6%,103260,35.9%,The Americas,"$94,000,000","$16,000,000",12/1/2006
3.4%,38.7%,12526,Guatemala,30,,7940,"$30,231,130,543",7.3%,$171,344,3.2%,0.1,12.8%,73,66,0.6,1,42.9%,52.8%,4.3%,12995374,47.6%,The Americas,"$919,000,000","$655,000,000",12/1/2006
2.2%,39.0%,1291,Guyana,41,,500,"$1,458,449,058",4.1%,$79,288,3.5%,,14.5%,68,62,0.5,1,36.9%,59.4%,3.7%,765367,28.3%,The Americas,"$37,000,000","$49,000,000",12/1/2006
2.8%,40.4%,2112,Haiti,202,,2645,"$4,879,738,636",5.7%,$30,184,6.4%,0.1,26.4%,62,58,0.1,1,37.7%,58.1%,4.2%,9388642,45.8%,The Americas,"$126,000,000","$239,000,000",12/1/2006
2.8%,44.0%,7008,Honduras,44,,3993,"$10,841,723,354",7.6%,$118,424,2.5%,0.1,17.4%,74,69,0.3,1,39.2%,56.6%,4.2%,7037428,49.2%,The Americas,"$516,000,000","$425,000,000",12/1/2006
1.6%,49.9%,12020,Jamaica,8,,4176,"$11,903,020,644",4.2%,$187,414,1.8%,0.2,17.6%,75,69,0.8,1,30.8%,61.5%,7.7%,2653042,53.0%,The Americas,"$2,094,000,000","$315,000,000",12/1/2006
2.1%,53.1%,441796,Mexico,25,,172307,"$966,735,935,558",5.7%,$515,560,1.6%,0.2,7.5%,78,73,0.5,1,31.9%,62.7%,5.4%,112116694,76.6%,The Americas,"$13,329,000,000","$9,387,000,000",12/1/2006
2.5%,63.5%,4466,Nicaragua,39,,2824,"$6,786,340,353",6.3%,$78,240,2.5%,0.0,11.6%,75,69,0.3,1,37.1%,58.7%,4.2%,5524927,56.2%,The Americas,"$231,000,000","$188,000,000",12/1/2006
2.2%,44.1%,7371,Panama,18,,3093,"$17,137,000,000",7.0%,$350,560,1.9%,0.2,8.4%,79,73,0.6,1,30.5%,63.3%,6.2%,3428509,64.0%,The Americas,"$1,425,000,000","$403,000,000",12/1/2006
2.5%,44.8%,3986,Paraguay,74,,4076,"$10,662,013,273",5.7%,$101,328,2.3%,0.1,30.1%,74,69,0.5,1,35.3%,59.8%,4.8%,6014781,57.6%,The Americas,"$112,000,000","$144,000,000",12/1/2006
2.2%,38.3%,35064,Peru,72,,13248,"$87,554,128,440",4.5%,$149,424,2.0%,0.2,23.9%,75,70,0.3,1,31.6%,62.9%,5.5%,28030688,75.4%,The Americas,"$1,775,000,000","$1,047,000,000",12/1/2006
1.2%,57.6%,,Puerto Rico,7,,,"$87,276,164,365",,,140,,0.3,,83,74,0.6,1,21.9%,65.8%,12.3%,3805214,94.1%,The Americas,"$3,369,000,000","$1,752,000,000",12/1/2006
,,,Sint Maarten (Dutch part),,,,,,,,,,,,,,1,,,,38272,100.0%,The Americas,"$651,000,000","$86,000,000",12/1/2006
,52.3%,235,St. Kitts and Nevis,19,,79,"$629,511,778",4.0%,$517,172,1.0%,0.5,9.3%,,,1.0,1,,,,49823,32.0%,The Americas,"$132,000,000","$14,000,000",12/1/2006
1.7%,34.0%,367,St. Lucia,20,,119,"$1,018,069,267",6.5%,$393,71,1.5%,0.2,10.8%,76,71,0.6,1,27.7%,64.9%,7.4%,167658,22.1%,The Americas,"$294,000,000","$39,000,000",12/1/2006
1.8%,,,St. Martin (French part),,,,,,,,,,,81,75,,1,,,,28414,,The Americas,,,12/1/2006
1.8%,45.0%,202,St. Vincent and the Grenadines,12,,70,"$611,040,126",3.9%,$218,76,1.9%,0.1,9.7%,74,69,0.8,1,28.1%,64.8%,7.1%,108908,47.4%,The Americas,"$113,000,000","$16,000,000",12/1/2006
2.0%,27.9%,2442,Suriname,694,,714,"$2,626,093,294",6.2%,$323,199,2.5%,0.1,15.6%,73,66,0.6,1,29.7%,64.1%,6.2%,505186,66.6%,The Americas,"$109,000,000","$33,000,000",12/1/2006
1.5%,37.2%,32152,Trinidad and Tobago,43,,19585,"$18,460,905,284",4.4%,$625,210,2.3%,0.3,10.9%,73,66,1.2,1,21.4%,71.2%,7.4%,1303478,9.7%,The Americas,"$517,000,000","$146,000,000",12/1/2006
